captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
00:01:34	00:10	8	STEAM	Orsomarso vs Patriotas	2 (Patriotas)	2.37	80%	-5.6%	2.51				Steam move: odds dropped -5.6% | Sustained odds drop: 2.51 → 2.37 (-5.6%) | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 153 snapshots — robust data
00:13:43	00:20	6	STEAM	Once Caldas vs Junior	2 (Junior)	3.30	65%	-6.0%	3.51				Steam move: odds dropped -6.0% | Sustained odds drop: 3.51 → 3.30 (-6.0%) | Only 7 min to kick-off — late data is more reliable | 25 snapshots — robust data
00:51:28	01:00	9	STEAM	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	2.67	95%	-16.3%	3.19				Steam move: odds dropped -16.3% | Sustained odds drop: 3.19 → 2.67 (-16.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 224 snapshots — robust data
00:51:28	01:00	9	STEAM	Manauara vs Parintins	2 (Parintins)	6.16	80%	-9.4%	6.80				Steam move: odds dropped -9.4% | Sustained odds drop: 6.80 → 6.16 (-9.4%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 162 snapshots — robust data
00:51:28	01:00	9	STEAM	Venados vs Cancun	2 (Cancun)	3.08	80%	-10.7%	3.45				Steam move: odds dropped -10.7% | Sustained odds drop: 3.45 → 3.08 (-10.7%) | Strong drop >8% | Only 9 min to kick-off — late data is more reliable | 46 snapshots — robust data
00:51:28	01:00	9	STEAM	Liberia vs Alajuelense	2 (Alajuelense)	2.25	65%	-5.5%	2.38				Steam move: odds dropped -5.5% | Sustained odds drop: 2.38 → 2.25 (-5.5%) | Only 9 min to kick-off — late data is more reliable | 40 snapshots — robust data
01:21:17	01:30	9	STEAM	Estudiantes Rio Cuarto vs Ind. Rivadavia	2 (Ind. Rivadavia)	2.31	95%	-14.1%	2.69				Steam move: odds dropped -14.1% | Sustained odds drop: 2.69 → 2.31 (-14.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 272 snapshots — robust data
01:24:06	01:30	6	STEAM	U. Catolica (Ecu) vs Juventud (Uru)	1 (U. Catolica (Ecu))	1.48	80%	-7.5%	1.60				Steam move: odds dropped -7.5% | Sustained odds drop: 1.60 → 1.48 (-7.5%) | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 37 snapshots — robust data
01:24:06	01:30	6	STEAM	Godoy Cruz vs Ciudad Bolivar	2 (Ciudad Bolivar)	6.92	65%	-6.1%	7.37				Steam move: odds dropped -6.1% | Sustained odds drop: 7.37 → 6.92 (-6.1%) | Only 6 min to kick-off — late data is more reliable | 36 snapshots — robust data
01:24:06	01:30	6	SUSTAINED_DROP	Godoy Cruz vs Ciudad Bolivar	X (Draw)	3.26	50%	-14.0%	3.79				Sustained odds drop: 3.79 → 3.26 (-14.0%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 36 snapshots — robust data
