time	date	kick_off	match	bet	tip	odds	opening	drop_pct	confidence	stake	tier	snapshots	status	reason
00:50:21	2026-02-18	12:30	Songkhla vs Khonkaen Utd.	HOME	1	2.39	2.7	11.5	80	4%	1	62	PENDING	Drop 11.5% | Conf 80% | 62 snaps
00:50:21	2026-02-18	18:30	Al Ain (Uae) vs Al Qadisiya (Kuw)	HOME	1	2.25	3.03	25.7	85	4%	1	122	PENDING	Drop 25.7% | Conf 85% | 122 snaps
00:50:21	2026-02-18	20:00	CD Extremadura vs Antoniano	HOME	1	1.69	1.89	10.6	80	4%	1	128	PENDING	Drop 10.6% | Conf 80% | 128 snaps
00:50:21	2026-02-18	20:45	Aberdeen vs Motherwell	HOME	1	2.59	3.4	23.8	90	5%	1	126	PENDING	Drop 23.8% | Conf 90% | 126 snaps
00:50:21	2026-02-18	21:00	Mosta vs Tarxien	HOME	1	2.2	3.0	26.7	95	5%	1	120	PENDING	Drop 26.7% | Conf 95% | 120 snaps
00:50:21	2026-02-18	23:15	Vitoria vs Bahia de Feira	HOME	1	1.28	1.43	10.5	80	4%	1	134	PENDING	Drop 10.5% | Conf 80% | 134 snaps
00:50:21	2026-02-19	13:00	Chainat vs Mahasarakham	HOME	1	1.82	2.19	16.9	85	4%	1	158	PENDING	Drop 16.9% | Conf 85% | 158 snaps
00:50:21	2026-02-19	16:00	Sarpsborg 08 (Nor) vs Brno (Cze)	HOME	1	1.51	2.06	26.7	80	4%	1	50	PENDING	Drop 26.7% | Conf 80% | 50 snaps
00:50:21	2026-02-19	18:45	Din. Zagreb vs Genk	HOME	1	1.94	2.23	13.0	80	4%	1	228	PENDING	Drop 13.0% | Conf 80% | 228 snaps
00:50:21	2026-02-19	19:45	Al Adalah vs Jeddah	HOME	1	1.83	2.6	29.6	95	5%	1	238	PENDING	Drop 29.6% | Conf 95% | 238 snaps
00:50:21	2026-02-19	20:00	Hapoel Tirat Karmel vs Beit Shean	HOME	1	3.0	4.55	34.1	90	5%	1	241	PENDING	Drop 34.1% | Conf 90% | 241 snaps
00:50:21	2026-02-19	20:00	Vikingur Reykjavik vs KR Reykjavik	HOME	1	1.82	2.7	32.6	90	5%	1	241	PENDING	Drop 32.6% | Conf 90% | 241 snaps
00:50:21	2026-02-19	21:00	Panathinaikos vs Plzen	HOME	1	2.1	2.39	12.1	80	4%	1	253	PENDING	Drop 12.1% | Conf 80% | 253 snaps
00:50:21	2026-02-20	00:00	Paysandu PA vs Tuna Luso	DRAW	X	3.28	3.87	15.2	80	2%	2	196	PENDING	Drop 15.2% | Conf 80% | 196 snaps
00:50:21	2026-02-20	09:35	Adelaide United vs Perth Glory	HOME	1	1.85	2.19	15.5	85	4%	1	320	PENDING	Drop 15.5% | Conf 85% | 320 snaps
00:50:21	2026-02-20	10:30	Northcote City vs Western Utd. U21	HOME	1	1.59	2.34	32.1	85	4%	1	266	PENDING	Drop 32.1% | Conf 85% | 266 snaps
00:50:21	2026-02-20	12:30	Maccabi Nujeidat Ahmad vs Tzeirey Um El Fahem	HOME	1	2.89	4.34	33.4	90	5%	1	257	PENDING	Drop 33.4% | Conf 90% | 257 snaps
00:50:21	2026-02-20	14:00	Turan Tovuz vs Zira	DRAW	X	2.73	3.23	15.5	80	2%	2	364	PENDING	Drop 15.5% | Conf 80% | 364 snaps
00:50:21	2026-02-20	15:00	Frosinone U20 vs Inter U20	HOME	1	2.92	3.65	20.0	85	4%	1	359	PENDING	Drop 20.0% | Conf 85% | 359 snaps
00:50:21	2026-02-20	17:00	Dyn. Kyiv vs Rukh Lviv	HOME	1	1.21	1.49	18.8	80	4%	1	393	PENDING	Drop 18.8% | Conf 80% | 393 snaps
00:50:21	2026-02-20	19:00	Al-Ahli Manama vs Al-Najma	HOME	1	2.38	15.0	84.1	90	5%	1	410	PENDING	Drop 84.1% | Conf 90% | 410 snaps
00:50:21	2026-02-20	19:10	Favoritner vs Sportunion Mauer	HOME	1	2.91	4.8	39.4	85	4%	1	396	PENDING	Drop 39.4% | Conf 85% | 396 snaps
00:50:21	2026-02-20	20:00	Newcastle Utd U21 vs Fulham U21	HOME	1	2.59	3.33	22.2	85	4%	1	348	PENDING	Drop 22.2% | Conf 85% | 348 snaps
00:50:21	2026-02-20	20:30	Frosinone vs Empoli	HOME	1	1.75	2.02	13.4	80	4%	1	426	PENDING	Drop 13.4% | Conf 80% | 426 snaps
00:50:21	2026-02-20	20:30	Kortrijk U21 vs Lommel SK U21	HOME	1	2.2	3.15	30.2	85	4%	1	361	PENDING	Drop 30.2% | Conf 85% | 361 snaps
00:50:21	2026-02-20	21:00	Gresford vs Flint Mountain	HOME	1	1.95	2.39	18.4	80	4%	1	430	PENDING	Drop 18.4% | Conf 80% | 430 snaps
00:50:21	2026-02-21	00:20	Llaneros vs Ind. Medellin	HOME	1	2.07	3.05	32.1	90	5%	1	353	PENDING	Drop 32.1% | Conf 90% | 353 snaps
00:50:21	2026-02-21	00:30	D. Concepcion vs Cobresal	HOME	1	1.73	1.96	11.7	80	4%	1	354	PENDING	Drop 11.7% | Conf 80% | 354 snaps
00:50:21	2026-02-21	01:00	Orense vs LDU Quito	HOME	1	2.83	3.66	22.7	90	5%	1	356	PENDING	Drop 22.7% | Conf 90% | 356 snaps
00:50:21	2026-02-21	02:15	Rosario Central vs Talleres Cordoba	HOME	1	1.78	2.04	12.7	80	4%	1	369	PENDING	Drop 12.7% | Conf 80% | 369 snaps
00:50:21	2026-02-21	06:30	Macarthur Rams vs Rydalmere Lions	HOME	1	2.62	3.7	29.2	90	5%	1	408	PENDING	Drop 29.2% | Conf 90% | 408 snaps
00:50:21	2026-02-21	08:00	Rochedale vs Wynnum Wolves	HOME	1	2.51	3.16	20.6	90	5%	1	418	PENDING	Drop 20.6% | Conf 90% | 418 snaps
00:50:21	2026-02-21	09:00	Canterbury Bankstown vs Western City Rangers	HOME	1	2.21	3.39	34.8	90	5%	1	428	PENDING	Drop 34.8% | Conf 90% | 428 snaps
00:50:21	2026-02-21	09:00	Prospect United vs Newcastle Jets U23	HOME	1	2.58	4.4	41.4	90	5%	1	428	PENDING	Drop 41.4% | Conf 90% | 428 snaps
00:50:21	2026-02-21	10:00	CSM Resita vs Chindia Targoviste	HOME	1	2.07	2.37	12.7	80	4%	1	436	PENDING	Drop 12.7% | Conf 80% | 436 snaps
00:50:21	2026-02-21	10:00	CSM Slatina vs Campulung	HOME	1	1.23	1.56	21.2	85	4%	1	436	PENDING	Drop 21.2% | Conf 85% | 436 snaps
00:50:21	2026-02-21	10:30	Kentavros Vrilission vs Apollon Kalythion	HOME	1	1.8	2.22	18.9	90	5%	1	193	PENDING	Drop 18.9% | Conf 90% | 193 snaps
00:50:21	2026-02-21	11:00	Kromeriz (Cze) vs Ostrava B (Cze)	HOME	1	2.54	2.9	12.4	80	4%	1	103	PENDING	Drop 12.4% | Conf 80% | 103 snaps
00:50:21	2026-02-21	12:00	Levante W vs Dep. La Coruna W	HOME	1	2.57	3.08	16.6	80	4%	1	451	PENDING	Drop 16.6% | Conf 80% | 451 snaps
00:50:21	2026-02-21	13:00	Moknine vs Kalaa	HOME	1	1.58	1.97	19.8	85	4%	1	106	PENDING	Drop 19.8% | Conf 85% | 106 snaps
00:50:21	2026-02-21	13:00	Panaderia vs Mensajero	DRAW	X	2.87	3.4	15.6	80	2%	2	215	PENDING	Drop 15.6% | Conf 80% | 215 snaps
00:50:21	2026-02-21	13:30	Briton Ferry vs Bala	HOME	1	1.8	2.15	16.3	80	4%	1	465	PENDING	Drop 16.3% | Conf 80% | 465 snaps
00:50:21	2026-02-21	14:00	Apea Akrotiriou vs Iraklis Yerolakkou	HOME	1	1.72	2.01	14.4	80	4%	1	467	PENDING	Drop 14.4% | Conf 80% | 467 snaps
00:50:21	2026-02-21	14:00	Doxa Vyronas vs Amarynthiakos	HOME	1	1.1	1.29	14.7	80	4%	1	190	PENDING	Drop 14.7% | Conf 80% | 190 snaps
00:50:21	2026-02-21	14:00	Halkanoras vs Kitiou	HOME	1	2.01	2.45	18.0	80	4%	1	518	PENDING	Drop 18.0% | Conf 80% | 518 snaps
00:50:21	2026-02-21	14:00	Pelister vs Struga	DRAW	X	3.04	4.33	29.8	85	4%	1	113	PENDING	Drop 29.8% | Conf 85% | 113 snaps
00:50:21	2026-02-21	14:00	Sarakinos Volos vs Asteras Karditsa	HOME	1	1.73	2.02	14.4	80	4%	1	172	PENDING	Drop 14.4% | Conf 80% | 172 snaps
00:50:21	2026-02-21	14:00	Stutt. Kickers vs Mainz II	HOME	1	1.89	2.39	20.9	85	4%	1	469	PENDING	Drop 20.9% | Conf 85% | 469 snaps
00:50:21	2026-02-21	14:00	Thyella Patras vs Miltiadis	HOME	1	2.14	2.54	15.7	80	4%	1	167	PENDING	Drop 15.7% | Conf 80% | 167 snaps
00:50:21	2026-02-21	14:30	Ascoli U19 vs Ternana U19	HOME	1	1.86	2.18	14.7	80	4%	1	221	PENDING	Drop 14.7% | Conf 80% | 221 snaps
00:50:21	2026-02-21	14:30	Bijelo Brdo vs Dugopolje	HOME	1	2.23	2.8	20.4	90	5%	1	473	PENDING	Drop 20.4% | Conf 90% | 473 snaps
00:50:21	2026-02-21	14:30	Metalist 1925 vs Kryvbas	HOME	1	1.87	2.27	17.6	80	4%	1	473	PENDING	Drop 17.6% | Conf 80% | 473 snaps
00:50:21	2026-02-21	14:30	Persekat vs PSMS Medan	HOME	1	2.78	4.24	34.4	85	4%	1	246	PENDING	Drop 34.4% | Conf 85% | 246 snaps
00:50:21	2026-02-21	14:30	Persiku Kudus vs Persela Lamongan	HOME	1	1.99	3.03	34.3	90	5%	1	246	PENDING	Drop 34.3% | Conf 90% | 246 snaps
00:50:21	2026-02-21	14:30	San Marino Academy W vs RES Roma W	HOME	1	2.86	3.46	17.3	85	4%	1	165	PENDING	Drop 17.3% | Conf 85% | 165 snaps
00:50:21	2026-02-21	14:30	Orijent vs Croatia Zmijavci	DRAW	X	3.09	3.7	16.5	80	2%	2	473	PENDING	Drop 16.5% | Conf 80% | 473 snaps
00:50:21	2026-02-21	14:30	Persekat vs PSMS Medan	DRAW	X	2.94	3.5	16.0	80	2%	2	246	PENDING	Drop 16.0% | Conf 80% | 246 snaps
00:50:21	2026-02-21	15:00	Njardvik vs KA Akureyri	HOME	1	2.16	2.82	23.4	90	5%	1	6	PENDING	Drop 23.4% | Conf 90% | 6 snaps
00:50:21	2026-02-21	15:30	Flint vs Cardiff Metropolitan	HOME	1	1.96	2.43	19.3	80	4%	1	481	PENDING	Drop 19.3% | Conf 80% | 481 snaps
00:50:21	2026-02-21	16:00	Benfica U19 vs FC Porto U19	HOME	1	2.19	2.73	19.8	85	4%	1	210	PENDING	Drop 19.8% | Conf 85% | 210 snaps
00:50:21	2026-02-21	16:00	Bochum II vs Schalke II	HOME	1	2.58	3.81	32.3	85	4%	1	485	PENDING	Drop 32.3% | Conf 85% | 485 snaps
00:50:21	2026-02-21	16:00	Brechin vs Brora Rangers	HOME	1	2.0	2.57	22.2	90	5%	1	217	PENDING	Drop 22.2% | Conf 90% | 217 snaps
00:50:21	2026-02-21	16:00	East Stirlingshire vs Berwick	HOME	1	2.68	3.5	23.4	85	4%	1	220	PENDING	Drop 23.4% | Conf 85% | 220 snaps
00:50:21	2026-02-21	17:00	Sion II vs Prishtina Bern	HOME	1	2.52	2.83	11.0	80	4%	1	124	PENDING	Drop 11.0% | Conf 80% | 124 snaps
00:50:21	2026-02-21	17:00	UE Vic vs CF Vilanova	HOME	1	2.77	3.71	25.3	90	5%	1	240	PENDING	Drop 25.3% | Conf 90% | 240 snaps
00:50:21	2026-02-21	17:00	Villarrubia vs Ciudad Real	HOME	1	2.82	3.4	17.1	80	4%	1	239	PENDING	Drop 17.1% | Conf 80% | 239 snaps
00:50:21	2026-02-21	18:00	Bordeaux vs Saint-Malo	HOME	1	1.51	1.8	16.1	85	4%	1	357	PENDING	Drop 16.1% | Conf 85% | 357 snaps
00:50:21	2026-02-21	18:00	Zurich II vs Basel II	HOME	1	2.2	2.47	10.9	80	4%	1	247	PENDING	Drop 10.9% | Conf 80% | 247 snaps
00:50:21	2026-02-21	19:00	Tanabi vs Jabaquara	HOME	1	1.81	2.16	16.2	85	4%	1	163	PENDING	Drop 16.2% | Conf 85% | 163 snaps
00:50:21	2026-02-21	20:00	Capital vs Brasiliense	HOME	1	2.52	3.41	26.1	85	4%	1	195	PENDING	Drop 26.1% | Conf 85% | 195 snaps
00:50:21	2026-02-21	20:00	Gurupi vs Tocantinopolis	HOME	1	2.91	3.48	16.4	85	4%	1	176	PENDING	Drop 16.4% | Conf 85% | 176 snaps
00:50:21	2026-02-21	20:00	Independente AP vs Oratorio	DRAW	X	2.47	3.1	20.3	80	4%	1	184	PENDING	Drop 20.3% | Conf 80% | 184 snaps
00:50:21	2026-02-21	23:00	Bandeirante vs Francana	HOME	1	2.18	2.61	16.5	80	4%	1	200	PENDING	Drop 16.5% | Conf 80% | 200 snaps
00:50:21	2026-02-22	01:00	Tigres de Alica vs Cimarrones de Sonora	HOME	1	2.83	4.1	31.0	90	5%	1	159	PENDING	Drop 31.0% | Conf 90% | 159 snaps
00:50:21	2026-02-22	01:00	Tigres de Alica vs Cimarrones de Sonora	DRAW	X	3.26	3.95	17.5	80	2%	2	159	PENDING	Drop 17.5% | Conf 80% | 159 snaps
00:50:21	2026-02-22	04:00	Navua vs Nadi	HOME	1	2.53	2.91	13.1	80	4%	1	133	PENDING	Drop 13.1% | Conf 80% | 133 snaps
00:50:21	2026-02-22	05:00	Central Coast Mariners U23 vs Dulwich Hill	HOME	1	1.87	2.6	28.1	85	4%	1	380	PENDING	Drop 28.1% | Conf 85% | 380 snaps
